0.992289 1.959423
1.010455 2.042041
0.938573 2.026053
0.963229 2.098108
0.966291 2.070606
0.981616 2.102370
0.909539 2.109998
0.930186 2.191233
0.938289 2.221175
0.893277 2.214193
0.879453 2.190905
0.877749 2.267906
0.892549 2.249732
0.867281 2.274520
0.841639 2.331397
0.814962 2.345724
0.819076 2.354678
0.796421 2.405814
0.777740 2.362669
0.813493 2.408114
0.795730 2.440553
0.737185 2.462405
0.761844 2.454915
0.762451 2.462911
0.753400 2.528699
0.710686 2.516492
0.666986 2.490805
0.665303 2.558695
0.653385 2.582122
0.601968 2.535182
0.601133 2.583312
0.603520 2.628787
0.539484 2.577789
0.551884 2.628398
0.517286 2.653074
0.490869 2.610554
0.438290 2.679682
0.479996 2.647710
0.456596 2.688709
0.398088 2.666126
0.423682 2.670909
0.394743 2.670608
0.331768 2.654294
0.302921 2.700298
0.323196 2.649061
0.273985 2.718584
0.218926 2.667305
0.254583 2.653530
0.163744 2.628978
0.148964 2.657117
